Demográfica;Número de Hogares (Renta);Renta de mercado ampliada;Renta Bruta (Renta);Renta Disponible;Renta disponible extendida;Año;Impuestos Directos;IRPF;Impuesto de Patrimonio;Impuesto sobre Sociedades;Cotización social trabajadores (*);Cotización Social Empresas y SEPE;IBI;Impuestos Indirectos;IVA e ITPAJD;II.EE. e I. Primas de Seguros;I.E. Bebidas Alcohólicas;I.E. Labores del Tabaco;I.E. Hidrocarburos;Prestaciones monetarias;Impuestos totales;Prestaciones en especie;Jubilación;Superviviencia;Desempleo;Invalidez;Ingresos Asistencia social;Resto de prestaciones;Prestaciones en especie. Sanidad;Prestacones en especie. Educación
Quintil 1;3785526.0;3365.7890899538556;10884.28710061886;7817.729518808626;13084.31037510237;2021;1515.9912790187911;225.66944829873708;15.83602082276823;7.729489007821519;553.8157965273581;712.9405253627663;178.45170473006922;1550.5663048468102;1346.2084564119712;204.35784797866629;6.874555503710477;60.0;83.57399206698217;7518.498011990941;3066.5575778286056;5266.580850576375;3164.0881503415903;2073.262621281692;2073.262621281692;480.35379827796714;506.00003792867886;217.23732489905322;3848.9386172489635;1417.642233652006
Quintil 2;3785526.0;12709.543417314026;23842.882021483358;16824.294908004063;23551.362594002632;2021;4746.721397260886;1092.5512720015256;32.421249230318026;23.131181377495224;1013.2403478861054;2585.3773473593865;223.39352496852484;2271.865713765046;1922.648669725348;349.21704429229567;11.652339751349029;86.0;175.07867053596982;11133.338609273755;7018.587109765511;6727.067674152204;6531.857829857727;1703.8970182241517;1703.8970182241517;852.135278217611;205.38976830960877;374.5971107602545;4545.667995940326;2181.3996781653777
Quintil 3;3785526.0;24911.255013335354;37636.35247309475;25167.40414441956;32479.552604580662;2021;9606.49794604311;2856.4804552448895;26.625967825697035;27.9731837995659;1613.5161825671082;5081.902157288421;262.4544221859789;2862.450367732605;2382.7199954185576;479.7303726372667;16.113780776084848;126.0;248.70379741901334;12725.097469126009;12468.948323398994;7312.148453648061;8735.714212920477;1104.9288442610089;1104.9288442610089;812.6999419763595;84.50346820494696;402.5397221047013;4680.761737998893;2631.386716627997
Quintil 4;3785526.0;45397.141656909516;56605.78009475062;36115.42426795871;44213.41230852789;2021;16887.314129316765;5084.502232819623;49.4640601338527;83.69358851546481;2593.860264055797;9075.793991975825;300.02935576192056;3603.0417339166625;2953.5109198127107;649.5308151269209;21.217625461615874;187.0;336.3530749124927;11208.638418883293;20490.355846561455;8097.988028577185;6992.692265481732;991.1560438787106;991.1560438787106;857.2502943844528;49.491006903664115;566.3038277614351;4937.014994481612;3160.973034732378
Decil 9;1892763.0;69229.33568919195;81241.04807186141;49952.75739747553;59333.928445666716;2021;26919.946155144742;9658.94333819639;49.70791285503742;147.56976122998032;3520.7980274275524;13542.92710907252;359.41138378127636;4368.344492688432;3552.8447802730525;815.4997143810397;25.630196969875026;239.0;433.0543316072395;12011.712422892462;31288.29069314154;9381.171049580114;8118.954198449568;857.6580467813455;857.6580467813455;914.1054714721283;68.50698882004772;531.4353894858175;5319.663888717182;4061.507160772642
Centiles 91-99;1703487.0;119310.53745408499;129514.01882613152;77836.36529751869;87806.89527741709;2021;46075.3526446255;20832.749808355617;94.42926630291126;812.9426382226791;4837.347220109169;19497.883622780395;481.0961245961959;5602.3008359827045;4518.677121709817;1083.62370731785;32.10233471695272;317.0;595.8376162886397;10203.48151070232;51677.65348549929;9970.530021602839;7040.285261184852;714.9270893760856;714.9270893760856;646.5481530120277;146.85905914163126;484.6928084486829;5395.436764706746;4575.0932569024
Centil 100;189276.0;411487.22976483416;426228.043624786;324516.4925743359;334324.44779998023;2021;94903.70411251088;42578.59196709858;559.0402013523172;27920.135660674518;4961.4470220361045;18884.489340768505;674.7582630655762;6807.848260826833;5630.6891887831425;1177.1590843414922;32.019316416808955;318.0;672.2996188138358;14740.813791514425;101711.55207210634;9807.955202984002;11332.066798009257;1108.884152243285;1108.884152243285;618.4819760561297;6.901613622434962;587.3663998717108;5746.13747120607;4061.8177317779327
Quintil 1;3829801.0;4065.846633052224;12030.39099065999;8725.425962947918;14337.165306049357;2022;1727.0310851839326;273.5972203741918;14.170096110483158;9.93429528507102;640.7224539442607;788.6070216381574;180.99386939425835;1577.9339486321953;1387.7527633753728;190.1811843214079;5.958823769094387;57.11040691305361;83.30192965196683;7964.544365741422;3304.965031789685;5611.739337631126;3625.569615648437;2200.2397831976127;840.7383401505558;484.3776888694739;565.0031898028122;248.6157417314048;4023.7034172271615;1588.0359200013027
Quintil 2;3829801.0;15841.531200619833;26955.723022518723;18669.266777076475;25647.79020371108;2022;5972.815933146378;1432.4540168160688;22.98753064338083;21.839534716536924;1235.5712049985893;3259.963653999253;223.44293737455288;2313.640332388827;1997.106005424241;316.53432611878105;9.998687412194679;74.03830404782424;171.1934813958337;11114.191824725525;8286.45625514709;6978.523428944052;6793.3488077213415;1668.3498423495112;1085.5426454052315;858.5082885847072;231.40124842517926;477.0409839542543;4632.887021544983;2345.6364073166746
Quintil 3;3829800.0;28556.549821507182;41671.525247891535;27615.458565478188;35178.24604397076;2022;11055.366941059236;3282.543220943611;26.462496263861713;43.68418969567921;1758.229602681046;5944.4474193184615;264.8727844796073;3000.699737597411;2541.0810424943315;459.61869064923695;15.422420105266328;121.0683591655514;246.5211960777666;13114.975403868904;14056.066689486257;7562.787479919628;9231.298145519348;1184.4871078881404;1146.8142037094026;887.639303621599;103.63318868087106;561.1034524534338;4881.696506867199;2681.090973629169
