 Año,Renta neta media por persona,Renta media por unidad de consumo,Renta media por persona (con alquiler imputado),Renta media por unidad de consumo (con alquiler imputado),Sexo,Edad
2024,14807,21759,16917,24666,Ambos sexos,Todas las edades
2023,14082,20676,16180,23574,Ambos sexos,Todas las edades
2022,13008,19160,15086,22054,Ambos sexos,Todas las edades
2021,12269,18103,14255,20874,Ambos sexos,Todas las edades
2024,10424,18975,11513,20933,Ambos sexos,Menores de 16 años
2023,10129,18381,11276,20442,Ambos sexos,Menores de 16 años
2022,9605,17489,10830,19701,Ambos sexos,Menores de 16 años
2021,9036,16423,10203,18527,Ambos sexos,Menores de 16 años
2024,13463,20853,14922,23070,Ambos sexos,De 16 a 29 años
2023,12822,19735,14328,22006,Ambos sexos,De 16 a 29 años
2022,11660,18019,13156,20294,Ambos sexos,De 16 a 29 años
2021,10903,16828,12353,19020,Ambos sexos,De 16 a 29 años
2024,14907,21913,16576,24278,Ambos sexos, De 30 a 44 años
2023,14078,20876,15782,23300,Ambos sexos, De 30 a 44 años
2022,12974,19343,14732,21873,Ambos sexos, De 30 a 44 años
2021,12012,17994,13691,20416,Ambos sexos, De 30 a 44 años
2024,15876,22947,18105,25997,Ambos sexos,De 45 a 64 años
2023,15251,21943,17475,24991,Ambos sexos,De 45 a 64 años
2022,14225,20502,16439,23548,Ambos sexos,De 45 a 64 años
2021,13373,19272,15522,22224,Ambos sexos,De 45 a 64 años
2024,17208,22464,20782,26871,Ambos sexos,65 y más años
2023,16185,20938,19639,25178,Ambos sexos,65 y más años
2022,14762,19009,18046,23023,Ambos sexos,65 y más años
2021,14426,18685,17544,22518,Ambos sexos,65 y más años
2024,10507,18876,11614,20840,Ambos sexos,Menos de 18 años
2023,10258,18362,11432,20441,Ambos sexos,Menos de 18 años
2022,9666,17350,10909,19561,Ambos sexos,Menos de 18 años
2021,9120,16356,10304,18458,Ambos sexos,Menos de 18 años
2024,15161,22286,17065,24959,Ambos sexos,De 18 a 64 años
2023,14448,21214,16368,23911,Ambos sexos,De 18 a 64 años
2022,13377,19703,15308,22435,Ambos sexos,De 18 a 64 años
2021,12487,18411,14350,21044,Ambos sexos,De 18 a 64 años
2024,15005,22089,17031,24918,Hombres,Todas las edades
2023,14249,20953,16277,23787,Hombres,Todas las edades
2022,13180,19440,15202,22284,Hombres,Todas las edades
2021,12358,18275,14291,20997,Hombres,Todas las edades
2024,10382,18944,11456,20881,Hombres,Menores de 16 años
2023,10037,18225,11170,20262,Hombres,Menores de 16 años
2022,9446,17233,10655,19420,Hombres,Menores de 16 años
2021,8932,16260,10081,18336,Hombres,Menores de 16 años
2024,13720,21204,15217,23467,Hombres,De 16 a 29 años
2023,12855,19772,14364,22051,Hombres,De 16 a 29 años
2022,11825,18281,13336,20574,Hombres,De 16 a 29 años
2021,10967,16925,12395,19090,Hombres,De 16 a 29 años
2024,15580,22374,17358,24826,Hombres, De 30 a 44 años
2023,14780,21415,16586,23912,Hombres, De 30 a 44 años
2022,13538,19697,15380,22285,Hombres, De 30 a 44 años
2021,12333,18136,14088,20610,Hombres, De 30 a 44 años
2024,15973,22990,18169,25983,Hombres,De 45 a 64 años
2023,15378,22038,17596,25066,Hombres,De 45 a 64 años
2022,14414,20693,16645,23737,Hombres,De 45 a 64 años
2021,13417,19296,15581,22247,Hombres,De 45 a 64 años
2024,17710,23643,20987,27857,Hombres,65 y más años
2023,16595,21963,19780,26025,Hombres,65 y más años
2022,15118,19924,18156,23782,Hombres,65 y más años
2021,14928,19697,17840,23406,Hombres,65 y más años
2024,10481,18870,11577,20820,Hombres,Menos de 18 años
2023,10175,18220,11331,20269,Hombres,Menos de 18 años
2022,9541,17157,10768,19344,Hombres,Menos de 18 años
2021,9047,16254,10218,18337,Hombres,Menos de 18 años
2024,15464,22519,17391,25198,Hombres,De 18 a 64 años
2023,14728,21431,16678,24142,Hombres,De 18 a 64 años
2022,13677,19954,15646,22706,Hombres,De 18 a 64 años
2021,12612,18470,14499,21109,Hombres,De 18 a 64 años
2024,14617,21442,16807,24423,Mujeres,Todas las edades
2023,13921,20410,16086,23369,Mujeres,Todas las edades
2022,12843,18891,14975,21833,Mujeres,Todas las edades
2021,12184,17937,14221,20756,Mujeres,Todas las edades
2024,10469,19007,11573,20987,Mujeres,Menores de 16 años
2023,10226,18546,11390,20634,Mujeres,Menores de 16 años
2022,9774,17761,11016,20000,Mujeres,Menores de 16 años
2021,9146,16596,10332,18731,Mujeres,Menores de 16 años
2024,13187,20474,14604,22642,Mujeres,De 16 a 29 años
2023,12787,19696,14289,21959,Mujeres,De 16 a 29 años
2022,11487,17744,12968,20001,Mujeres,De 16 a 29 años
2021,10836,16728,12309,18947,Mujeres,De 16 a 29 años
2024,14245,21460,15806,23740,Mujeres, De 30 a 44 años
2023,13391,20349,14995,22700,Mujeres, De 30 a 44 años
2022,12416,18992,14091,21466,Mujeres, De 30 a 44 años
2021,11692,17852,13294,20222,Mujeres, De 30 a 44 años
2024,15780,22906,18042,26010,Mujeres,De 45 a 64 años
2023,15128,21851,17356,24917,Mujeres,De 45 a 64 años
2022,14040,20316,16237,23362,Mujeres,De 45 a 64 años
2021,13331,19249,15465,22202,Mujeres,De 45 a 64 años
2024,16819,21549,20623,26106,Mujeres,65 y más años
2023,15861,20129,19528,24510,Mujeres,65 y más años
2022,14481,18289,17959,22425,Mujeres,65 y más años
2021,14031,17889,17312,21821,Mujeres,65 y más años
2024,10535,18882,11654,20862,Mujeres,Menos de 18 años
2023,10346,18513,11540,20623,Mujeres,Menos de 18 años
2022,9799,17557,11059,19794,Mujeres,Menos de 18 años
2021,9197,16463,10394,18587,Mujeres,Menos de 18 años
2024,14857,22052,16739,24718,Mujeres,De 18 a 64 años
2023,14170,20999,16061,23682,Mujeres,De 18 a 64 años
2022,13078,19453,14972,22165,Mujeres,De 18 a 64 años
2021,12361,18353,14200,20979,Mujeres,De 18 a 64 años
